route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_id_event
237-13188,JUNE25-D08CAR-1_Weekday,10237000330609-JUNE25,,0,2370400,2370033_JUNE25,61881450-JUNE25-D08CAR-1_Weekday
237-13188,JUNE25-D08CAR-1_Weekday,10237000330700-JUNE25,,0,2370100,2370033_JUNE25,61881451-JUNE25-D08CAR-1_Weekday
237-13188,JUNE25-D08CAR-1_Weekday,10237000330802-JUNE25,,0,2370300,2370033_JUNE25,61881452-JUNE25-D08CAR-1_Weekday
237-13188,JUNE25-D08CAR-1_Weekday,10237000330904-JUNE25,,0,2370200,2370033_JUNE25,61881453-JUNE25-D08CAR-1_Weekday
237-13188,JUNE25-D08CAR-1_Weekday,10237000331004-JUNE25,,0,2370400,2370033_JUNE25,61881454-JUNE25-D08CAR-1_Weekday
237-13188,JUNE25-D08CAR-1_Weekday,10237000331103-JUNE25,,0,2370100,2370033_JUNE25,61881455-JUNE25-D08CAR-1_Weekday
237-13188,JUNE25-D08CAR-1_Weekday,10237000331202-JUNE25,,0,2370300,2370033_JUNE25,61881456-JUNE25-D08CAR-1_Weekday
237-13188,JUNE25-D08CAR-1_Weekday,10237000331302-JUNE25,,0,2370200,2370033_JUNE25,61881457-JUNE25-D08CAR-1_Weekday
237-13188,JUNE25-D08CAR-1_Weekday,10237000331400-JUNE25,,0,2370400,2370033_JUNE25,61881458-JUNE25-D08CAR-1_Weekday
237-13188,JUNE25-D08CAR-1_Weekday,10237000331459-JUNE25,,0,2370702,2370033_JUNE25,61881459-JUNE25-D08CAR-1_Weekday
237-13188,JUNE25-D08CAR-1_Weekday,10237000331559-JUNE25,,0,2370300,2370033_JUNE25,61881460-JUNE25-D08CAR-1_Weekday
237-13188,JUNE25-D08CAR-1_Weekday,10237000331700-JUNE25,,0,2370200,2370033_JUNE25,61881461-JUNE25-D08CAR-1_Weekday
237-13188,JUNE25-D08CAR-1_Weekday,10237000331808-JUNE25,,0,2370400,2370033_JUNE25,61881462-JUNE25-D08CAR-1_Weekday
237-13188,JUNE25-D08CAR-1_Weekday,10237000332118-JUNE25,,0,2370200,2370033_JUNE25,61881463-JUNE25-D08CAR-1_Weekday
237-13188,JUNE25-D08CAR-1_Weekday,10237000331911-JUNE25,,0,2370702,2370033_JUNE25,61881464-JUNE25-D08CAR-1_Weekday
237-13188,JUNE25-D08CAR-1_Weekday,10237000332014-JUNE25,,0,2370300,2370033_JUNE25,61881465-JUNE25-D08CAR-1_Weekday
237-13188,JUNE25-D08CAR-1_Weekday,10237000310609-JUNE25,,1,2370300,2370031_JUNE25,61881466-JUNE25-D08CAR-1_Weekday
237-13188,JUNE25-D08CAR-1_Weekday,10237000312012-JUNE25,,1,2370400,2370031_JUNE25,61881467-JUNE25-D08CAR-1_Weekday
237-13188,JUNE25-D08CAR-1_Weekday,10237000312114-JUNE25,,1,2370702,2370031_JUNE25,61881468-JUNE25-D08CAR-1_Weekday
